id;data_lancamento;descricao;valor;tipo_lancamento;numero_recibo;quantidade_parcela
1;2020-01-06T01:14:59;Montana end-to-end;7101;Despesa;Pre-emptive Savings Account;95669
2;2020-01-06T05:15:06;Pennsylvania;1206;Despesa;Checking Account Saint Helena Taiwan;64946
3;2020-01-05T20:48:37;evolve magnetic;68988;Receita;initiatives;77419
4;2020-01-06T00:30:34;Myanmar;98145;Receita;green visionary;7591
5;2020-01-05T14:00:06;Belarussian Ruble;47629;Despesa;Licensed Bedfordshire;93934
6;2020-01-06T08:56:23;Generic Frozen Chips projection Specialist;53563;Despesa;navigate Iranian Rial;41481
7;2020-01-05T19:28:37;Tuna Savings Account;55555;Despesa;Accounts;89481
8;2020-01-05T23:47:47;Mountain Wooden open-source;52382;Receita;Cotton turn-key digital;96155
9;2020-01-05T18:42:28;Auto Loan Account communities panel;189;Receita;Colombian Peso Unidad de Valor Real Divide Heard Island and McDonald Islands;20087
10;2020-01-05T15:05:02;Republic of Korea;6818;Despesa;Baby transparent;10650
