id;nome_fantasia;razao_social;cnpj;telefone;email;inscricao_estadual;inscricao_municipal;website;data_contratacao
1;EXE input disintermediate;Electronics Mississippi;process improvement Engineer;circuit synthesizing;Nedra26@gmail.com;world-class Handcrafted Incredible Frozen Shirt;Metrics PNG;Refined Concrete Keyboard;2020-01-05T12:06:52
2;deposit Borders;Internal Down-sized;Massachusetts Tasty bandwidth;Generic Cotton Bacon Towels New York;Myrtle_Upton36@hotmail.com;Euro silver product;Avon digital;Assistant Accounts Fish;2020-01-06T02:17:08
3;deposit;River Health;Metal;Iranian Rial New Mexico monitor;Fausto_Lind@yahoo.com;Andorra plug-and-play markets;Kina Profound;Auto Loan Account;2020-01-05T21:25:37
4;portals Tasty;Forward;portal turquoise Universal;repurpose;Jaunita59@gmail.com;supply-chains;Borders Licensed Frozen Gloves;Investor Run e-tailers;2020-01-05T22:31:37
5;Burg Avon;Jewelery orange Berkshire;Azerbaijanian Manat;Plastic HDD;Adam_Kilback@hotmail.com;mindshare Soft Vanuatu;open-source;Pizza Proactive;2020-01-06T02:58:21
6;West Virginia Senior harness;Concrete Phased Wooden;multi-byte Tajikistan;Branding Underpass Toys;Nikko.Ryan86@hotmail.com;Unbranded Cambridgeshire Accounts;Specialist Canadian Dollar;Illinois;2020-01-05T19:33:19
7;Books Plaza infrastructures;Computer;synthesize synthesize Automotive;Kids driver;Lane_Beatty@gmail.com;Architect Intelligent Rubber Ball;neural Borders;invoice Street;2020-01-06T00:53:17
8;Bedfordshire dynamic;withdrawal Practical SAS;asymmetric Steel;Paradigm Principal website;Cathy79@yahoo.com;XSS Mount;framework Strategist Usability;Clothing Walks;2020-01-06T02:48:00
9;motivating Money Market Account SAS;matrices multi-state;Customer International Future;SSL Maine;Ona_Ledner62@gmail.com;Checking Account GB Soft;target Borders;SMS Unbranded Rustic Soft Car;2020-01-05T11:20:59
10;deposit;synergize Practical;synthesizing payment 1080p;monitor Digitized;Destiney_Smith10@hotmail.com;dedicated interfaces;Nebraska;capability evolve;2020-01-06T03:13:55
