id;cep;nome_endereco;bairro;cidade;estado;numero;complemento
1;customized Small Practical;Officer Personal Loan Account online;Applications Canyon;USB;interfaces Beauty back-end;31990;back-end Chair black
2;Estate mobile;indexing;circuit;Cotton;Buckinghamshire quantify;18681;Checking Account Plastic quantifying
3;Response deposit;Handcrafted cross-platform;Investment Account;Handmade Investor Corporate;sticky calculate Rubber;8380;Belize magenta Intelligent
4;markets bypass;transmit;Manager Bacon North Dakota;Concrete;Auto Loan Account;28468;visualize GB
5;dynamic calculate reinvent;Gorgeous Wooden Car Stand-alone interactive;Streets;Centralized Circle;SMTP middleware invoice;79434;Principal RSS XML
6;magenta mobile Gibraltar Pound;Maryland;Personal Loan Account;back up Lock;pink Front-line;37621;Granite Path
7;proactive Salad Creative;Buckinghamshire Architect reciprocal;Rustic Kids black;Netherlands Antilles Chair;Shirt;58173;Secured Sleek Steel Table orange
8;Towels Philippine Peso;monitoring;Handmade;Applications Configurable purple;azure Technician Maryland;74780;bypassing COM
9;Cambridgeshire;National deposit transmitting;calculating Fresh;Central Mobility Checking Account;Buckinghamshire Versatile;65192;generate SSL expedite
10;hacking;deposit;deposit;synergize intermediate Route;Usability bandwidth Handmade Soft Soap;89595;Fish application
